Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:19:45.314206,   14.600645,101117.558766,   24.016337,   52.045005,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.381047,    0.324554,    0.046615,   -0.059957,    0.000000,    0.000000,   43.882812,   -2.456717,   -0.276576,   -2.151785,   -1.205756,   -2.419731,   -0.383014,   -0.797673,   -0.519864,   -1.837812,    1.575620,   -0.838769,   -1.382058,   -1.442880,   -2.427128,    0.423289,   -0.365754,   -2.319457,   -0.618494,   -1.446578,   -1.710414,   -2.304662,    0.899180,    0.623837,   -2.878362,    0.147535,   -1.700962,   -1.390688,   -2.810964,   -0.634111,    0.441371,   -2.580416,    0.136850,    0.651577,    0.172038,   -0.501165,   -0.835481,   -1.493428,   -1.270687,   -0.684659,   -0.782878,    1.512332,   -1.280550,   -0.498494,   -1.898223,  -24.074020, -151.828594,  -26.719574,  -22.350250,  -23.026330,  -25.371215,  -25.141283,  -24.725648,  -23.172375,  -28.630845,  -27.179849,  -24.526898,  -26.238443,  -24.371555,  -23.171964,  -25.955394,  -25.103475,  -23.146073,  -25.143954,  -24.940734
Mult,SI,251114 12:19:45.324206,   14.596324,101117.558766,   23.864362,   51.808636,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.322079,    0.289658,    0.029966,   -0.157875,    0.000000,    0.000000,   43.882812,   -1.757264,   -0.509179,   -2.249594,   -2.512197,   -2.820828,   -2.533567,   -2.666307,   -1.522195,   -1.070961,   -1.358222,   -0.089589,   -1.255071,   -2.703704,   -1.008495,   -3.081376,   -1.742058,   -1.063975,   -3.265897,   -2.338361,    0.363288,   -0.035343,    0.580686,   -1.024934,   -1.977949,   -0.017260,   -1.343427,   -0.294247,   -0.315823,   -0.929591,   -1.117810,   -1.906853,    0.836303,   -1.377845,   -0.026995,    0.206507,   -0.267124,   -2.017812,   -2.233155,    0.003288,   -2.189593,    1.265345,   -3.512473,    1.736099,    0.576166,  -24.057582, -156.250161,  -24.147377,  -24.226076,  -26.648786,  -24.883303,  -24.435665,  -24.294577,  -23.161279,  -27.802863,  -26.179367,  -23.395526,  -25.581112,  -24.973200,  -24.893371,  -26.578820,  -23.177306,  -26.676217,  -25.261283,  -26.587039
Mult,SI,251114 12:19:45.334206,   14.598166,101117.558766,   23.928974,   51.915908,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.313502,    0.286509,    0.031126,    0.102002,    0.000000,    0.000000,   43.882812,   -0.384658,   -1.206989,   -2.628498,    0.061233,   -2.994253,   -1.044249,   -0.449590,   -1.547263,   -0.894248,   -0.732741,    0.011096,   -0.329179,   -0.807125,   -0.421234,   -1.002742,   -1.009728,   -0.797262,    1.758086,    0.596714,    0.223562,   -1.692332,   -0.216576,   -0.936166,   -2.545485,   -0.212055,   -0.980139,   -2.783430,    1.689044,   -1.398907,    0.067808,   -2.468224,   -1.007673,    1.302023,   -0.094238,    0.043562,   -0.331644,   -1.588359,    1.004386,    0.087945,    1.091509,    1.438770,   -2.395073,   -0.897536,    0.873700,  -25.168612, -152.884901,  -25.285324,  -22.079633,  -22.210678,  -23.029772,  -22.971005,  -23.085328,  -21.514563,  -22.660422,  -24.035596,  -21.150453,  -21.595111,  -21.784564,  -21.048740,  -23.324019,  -21.002097,  -21.425385,  -20.686068,  -23.760458
Mult,SI,251114 12:19:45.344206,   14.599541,101117.558766,   23.975665,   52.047650,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.292392,    0.354696,    0.048554,   -0.038610,    0.000000,    0.000000,   43.882812,   -1.852606,    0.765618,   -1.134660,   -0.320549,   -1.561647,    1.261646,   -1.643428,    0.132740,   -1.763017,   -1.241509,   -1.431784,   -0.332055,   -0.298768,   -2.027264,    0.151644,   -2.227813,    1.067262,   -1.272331,   -1.956168,    0.129452,   -1.939730,   -1.890004,   -0.847810,   -1.557537,    1.080413,   -1.253016,   -0.340686,   -1.430551,    0.817810,   -1.381647,   -1.037262,   -0.030822,    0.640789,    0.158592,   -0.378494,   -2.857403,   -0.594659,   -0.238357,   -1.239455,   -0.535481,   -1.621647,   -2.028086,   -1.524455,   -2.340416,  -25.322516, -154.687820,  -20.294424,  -21.154152,  -18.858171,  -18.069077,  -20.198259,  -20.294552,  -17.792090,  -20.970042,  -19.965040,  -21.176343,  -19.467573,  -20.536068,  -21.154768,  -20.420178,  -20.985658,  -20.355657,  -17.998803,  -21.402782
Mult,SI,251114 12:19:45.354206,   14.600084,101117.558766,   23.999208,   51.926357,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.311399,    0.367079,    0.017397,   -0.054388,    0.000000,    0.000000,   43.890625,    0.105206,   -0.032877,   -1.516441,   -1.033153,   -3.115075,   -2.961787,   -1.303564,   -2.401238,   -3.255623,   -3.096581,   -0.401919,   -2.490416,   -0.455754,    0.155754,   -2.266032,   -0.529316,    0.410138,    1.535756,   -1.585072,   -0.946440,   -1.708771,   -0.390823,   -1.521784,   -2.016168,   -0.793974,   -2.640416,    0.045617,   -2.794526,    0.926714,   -0.835892,   -0.844111,   -0.371097,   -1.447811,   -1.132489,   -3.000828,   -2.563978,   -0.982194,    0.676440,   -0.505480,   -1.593702,   -3.041102,    1.307263,    2.320279,   -0.362056,  -23.680732, -153.750408,  -22.510113,  -19.499217,  -19.091648,  -19.667505,  -19.517710,  -22.606663,  -20.254972,  -22.032270,  -20.187369,  -18.495653,  -21.633947,  -19.068120,  -19.916033,  -19.198394,  -23.040868,  -20.107026,  -19.283874,  -21.378536
Mult,SI,251114 12:19:45.364206,   14.600364,101117.558766,   24.004830,   52.080982,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.068633,    0.356030,    0.046794,    0.208274,    0.000000,    0.000000,   43.890625,    0.650960,   -0.663289,   -0.808769,    0.007397,   -1.207400,   -2.867266,   -1.725209,   -0.489042,   -2.140278,    0.475480,    0.432330,   -1.794661,   -1.761784,    0.523563,   -1.320825,   -1.138358,   -0.436028,   -1.615483,   -2.094662,   -0.898358,   -1.864935,   -2.284525,   -1.800825,   -1.492195,    0.397398,   -1.272331,   -1.066851,   -1.359249,   -1.149865,    0.106850,   -0.277398,   -2.485484,    0.767159,   -0.207214,   -0.231576,    0.036986,   -0.291781,   -1.422332,   -1.089043,   -0.470138,    0.323014,   -0.661645,    2.066716,   -1.816031,  -22.886141, -154.198380,  -22.079633,  -21.596139,  -21.493502,  -18.857092,  -20.856617,  -20.969168,  -22.137578,  -23.265765,  -21.872098,  -19.317573,  -21.142953,  -20.538945,  -17.485925,  -22.012236,  -22.268674,  -19.574833,  -22.672237,  -23.076210
Mult,SI,251114 12:19:45.374206,   14.601365,101117.558766,   24.044510,   51.987070,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.429190,    0.380353,    0.035516,   -0.231197,    0.000000,    0.000000,   43.890625,   -0.292603,   -0.489864,   -2.054388,   -0.272466,   -2.372881,    0.403151,   -0.726988,   -0.407672,   -1.778634,   -0.645207,    0.532604,   -0.519864,   -0.200548,    1.817675,   -0.065754,   -1.543565,   -0.476302,   -0.666988,    0.981783,   -2.019867,   -0.499727,   -2.896855,   -2.244251,   -2.919458,   -1.507400,   -1.717401,    0.309453,   -0.173425,   -0.369453,   -1.052468,   -2.807677,    0.524796,   -1.305311,   -1.377254,   -0.880481,    0.061233,   -1.580140,   -0.246576,   -2.201922,    1.023701,   -3.605761,   -0.353425,    0.596097,   -1.748223,  -24.813748, -153.935687,  -22.685593,  -21.383467,  -20.593500,  -20.963055,  -23.290320,  -23.334447,  -21.037028,  -23.985253,  -21.598399,  -21.067439,  -21.104117,  -19.456066,  -19.882540,  -20.681137,  -21.081412,  -22.181551,  -22.489360,  -18.975243
Mult,SI,251114 12:19:45.384206,   14.598376,101117.558766,   23.943590,   51.681920,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.209447,    0.255976,    0.029964,    0.036105,    0.000000,    0.000000,   43.890625,    0.943564,    0.457398,   -1.012194,   -1.751510,   -0.503837,   -2.108634,   -2.706992,   -0.393699,   -0.602467,   -1.270687,   -1.416167,   -1.223427,   -0.431919,   -0.876166,    0.477535,   -0.199315,   -1.578496,    0.445069,   -1.211098,    0.282740,   -0.840002,   -0.469727,   -0.877399,   -1.680414,    0.345206,   -0.726166,   -1.317126,    0.796029,   -1.546441,   -0.015616,   -0.872467,   -1.599866,   -0.536508,   -0.833927,   -1.110208,   -0.447535,   -0.623837,    1.660277,   -0.576987,    0.590960,   -0.545755,   -3.988775,   -0.541234,   -3.530966,  -24.139979, -153.460065,  -26.453477,  -22.452579,  -22.140352,  -25.348817,  -23.788814,  -22.984566,  -20.934288,  -24.453542,  -20.860110,  -24.561419,  -25.456283,  -22.639360,  -21.274768,  -22.871552,  -19.476203,  -22.065249,  -21.256275,  -24.474706
Mult,SI,251114 12:19:45.394206,   14.600109,101117.558766,   24.000002,   51.930590,  125.633209,    0.000000,  500.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.449031,    0.368233,    0.048701,   -0.468335,    0.000000,    0.000000,   43.890625,   -2.601375,   -2.154251,   -2.246717,   -0.490275,   -2.446854,   -2.025210,   -1.107947,   -3.126582,    0.502193,   -2.762882,   -0.904933,   -0.770960,   -2.136991,   -1.397674,   -1.182331,   -3.230965,   -2.146854,    1.560003,   -0.574111,   -0.836303,   -0.911509,   -1.971785,   -2.934252,   -3.762336,    1.127263,   -2.383566,    0.314795,    1.456236,   -0.750823,    1.342194,    0.093288,    0.123699,   -0.748871,    1.842371,    0.056918,   -0.455754,   -0.518631,   -0.342329,   -2.967129,   -2.894389,   -1.510688,   -0.375617,    2.821855,   -2.156306,  -24.624090, -152.530949,  -25.707585,  -24.198541,  -21.918177,  -25.553578,  -23.253745,  -25.111925,  -23.422649,  -27.391698,  -25.640599,  -23.713609,  -24.443781,  -25.009776,  -24.064774,  -24.609912,  -24.224843,  -24.501830,  -24.680186,  -22.351277
