Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 11:44:42.006986,   11.457521,101164.915418,   24.071691,   52.418142,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.203781,    0.487012,   -0.008637,   -0.197026,    0.000000,    0.000000,   42.031250,   -0.694522,   -0.922194,   -1.984524,   -0.466850,   -3.128225,   -1.477811,   -0.416302,   -0.561371,   -2.036716,    0.879043,   -1.181509,    1.015481,   -0.646440,    1.812743,   -1.430551,   -0.076849,   -3.408500,    1.031920,   -0.196850,    1.372195,   -0.688768,    0.741371,   -0.171370,    1.051646,   -1.396852,    0.451234,   -1.343427,    0.296096,   -0.199315,   -2.228635,   -0.963290,    0.000411,   -1.153256,    1.015109,   -2.474388,   -1.033564,   -1.268222,    1.254249,   -0.294247,    0.677673,    1.785620,    1.813154,    1.461167,    0.943974,  -14.731879, -100.550850,  -16.736129,  -16.643663,  -19.979988,  -18.317708,  -16.198799,  -16.989075,  -21.101138,  -19.586649,  -19.975930,  -19.530861,  -18.833873,  -19.907300,  -17.975686,  -17.782227,  -18.741818,  -19.362778,  -17.142363,  -19.518532
Mult,SI,251114 11:44:42.016986,   11.456783,101164.915418,   24.052644,   51.893686,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.132555,    0.499856,   -0.015039,   -0.014184,    0.000000,    0.000000,   42.031250,   -0.591782,   -0.670686,   -2.195347,   -0.816577,   -0.363288,   -2.295210,   -1.121098,   -1.716990,   -3.148773,   -0.659179,   -1.134249,   -1.155208,   -0.726166,    0.659590,   -2.099593,   -0.237124,   -2.049456,    0.647262,   -1.080413,   -1.405893,   -2.143566,   -2.155895,   -0.773837,   -3.340692,   -0.214521,    0.287672,   -1.587537,    0.864043,   -1.494250,    0.773426,   -1.150687,   -0.265891,    0.441268,    1.237734,   -2.484868,    0.456576,   -1.323290,   -1.386167,   -1.225482,   -0.212055,   -2.420553,    1.466715,   -3.546171,    1.040139,  -17.316610,  -99.082723,  -15.934552,  -18.647297,  -17.485206,  -17.850549,  -18.648119,  -15.430407,  -18.082228,  -18.971442,  -17.480583,  -16.025785,  -17.337569,  -17.137431,  -15.808490,  -16.291676,  -15.750853,  -17.197842,  -17.433528,  -19.765519
Mult,SI,251114 11:44:42.026986,   11.456824,101164.915418,   24.043716,   52.261797,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.223470,    0.495537,    0.014949,    0.118075,    0.000000,    0.000000,   42.031250,   -0.103562,   -2.089730,   -1.803702,   -0.134384,    0.760275,    0.533837,   -1.416578,   -1.672195,   -1.010961,   -0.653837,   -0.101507,    0.295069,   -0.585618,    0.216165,   -2.077812,    1.340962,   -4.166310,   -2.238498,   -1.134249,    1.991511,   -1.938086,   -0.102329,   -3.173431,   -0.027945,    1.158906,   -1.757264,   -1.093975,    1.205345,   -0.561371,   -1.283427,   -0.270822,   -0.597535,    0.862091,   -0.331336,   -1.310756,    2.652745,   -1.846442,   -0.904933,   -0.688768,   -1.012194,    0.475069,    2.003018,    1.020618,   -1.583428,  -16.852842, -101.182817,  -16.894965,  -17.161883,  -16.531060,  -17.148424,  -15.720853,  -15.505844,  -17.384418,  -17.561747,  -19.703053,  -17.859898,  -17.738665,  -15.578661,  -15.969792,  -17.911268,  -17.318254,  -18.080995,  -17.662021,  -19.088668
Mult,SI,251114 11:44:42.036986,   11.452675,101164.915418,   23.856360,   52.022519,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.218134,    0.551711,   -0.023571,    0.304629,    0.000000,    0.000000,   42.031250,   -1.225482,   -2.475210,   -1.436715,    0.539590,   -0.453700,   -1.325345,   -0.462330,   -1.943018,   -1.641373,    0.162740,   -0.291781,   -0.643563,    0.430275,    0.759865,   -2.930965,   -0.641097,   -2.253703,    0.789043,   -0.048082,    0.396165,   -1.718634,   -1.757264,   -0.578631,   -0.049726,    1.347537,   -0.039041,   -1.370551,   -1.121098,   -1.416578,   -0.559727,   -0.458220,   -1.271098,    1.336441,    0.347248,    0.936372,   -0.539590,   -0.004932,   -0.508768,   -0.678084,    0.428220,    1.562058,    0.076028,    0.790481,   -2.810143,  -16.276676,  -98.867470,  -15.680168,  -16.781540,  -18.613290,  -13.839274,  -17.405377,  -15.542163,  -15.917292,  -18.513016,  -18.745311,  -17.105787,  -17.630788,  -16.500855,  -18.821442,  -17.476884,  -15.767292,  -16.885513,  -16.369964,  -17.838940
Mult,SI,251114 11:44:42.046986,   11.455137,101164.915418,   23.976260,   51.869084,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.046252,    0.452114,    0.003470,    0.176083,    0.000000,    0.000000,   42.031250,   -1.560825,    1.508633,   -0.150411,   -0.653015,   -2.501101,    0.553152,   -1.712058,   -1.496304,   -2.136169,   -0.992468,    0.246987,   -0.720001,   -0.935755,    1.358633,   -4.591653,    0.642741,    0.945618,    0.339864,    1.019180,   -3.196856,   -0.754522,    0.703563,    0.955892,   -1.757675,   -2.356854,   -1.109180,   -2.040004,    1.942607,   -0.522330,    1.380414,   -0.054658,   -0.535070,    2.140381,    0.891731,    0.600823,   -0.212055,   -0.698221,   -0.186987,    0.705207,    0.010685,   -1.817675,    1.123153,    1.415756,    0.534248,  -16.018799,  -97.327578,  -18.216201,  -18.873325,  -17.361713,  -17.514898,  -16.556334,  -16.849426,  -19.237025,  -19.469833,  -19.256956,  -19.762231,  -17.854762,  -16.728115,  -21.119426,  -16.756883,  -17.465377,  -18.975243,  -17.716268,  -19.867848
Mult,SI,251114 11:44:42.056986,   11.456473,101164.915418,   24.034193,   52.024899,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.213210,    0.501383,   -0.005192,   -0.127416,    0.000000,    0.000000,   42.031250,    0.840824,   -2.061785,   -2.089730,   -1.989456,   -1.758086,   -1.574798,   -1.351647,   -0.078904,   -1.604387,   -0.289316,   -0.481645,   -0.659590,   -2.041237,    0.944385,   -0.821098,   -1.189317,   -2.417676,   -1.220550,   -0.772193,   -0.890961,   -2.190415,    0.302055,   -2.937951,   -1.809456,   -2.616992,   -1.359866,   -0.125754,   -0.700481,   -0.377672,    0.859317,   -0.768084,   -0.362466,    0.042021,    1.176051,   -0.035548,    2.059319,   -0.204247,    1.684935,    0.213699,   -0.759865,   -1.288359,   -3.301239,   -0.050754,   -0.045617,  -14.745646,  -99.551859,  -17.879625,  -18.492982,  -17.224195,  -15.509209,  -18.681818,  -18.282365,  -18.749215,  -20.537815,  -17.440925,  -18.202639,  -16.557567,  -18.367845,  -19.508566,  -19.961957,  -16.926609,  -17.596473,  -18.282160,  -17.795789
Mult,SI,251114 11:44:42.066986,   11.458487,101164.915418,   24.119704,   52.319732,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.007271,    0.427442,   -0.015457,    0.037791,    0.000000,    0.000000,   42.031250,   -0.452878,   -2.762882,   -1.064386,   -1.535756,   -0.242466,    0.567124,   -2.601786,   -1.541099,   -1.339729,   -0.574522,   -0.822330,   -0.358768,   -2.123429,   -0.192740,   -0.398631,   -1.630688,   -0.099452,    0.933290,   -0.364110,   -0.853563,   -0.891783,   -2.272607,   -1.504934,   -0.226439,   -0.370686,   -2.612471,   -1.486852,    1.972607,   -0.584385,    0.432330,    0.926714,   -1.738771,    1.486441,   -0.889227,   -0.796851,   -1.036440,   -0.073151,    2.020278,   -1.254249,    0.007808,    1.765894,   -1.239044,    1.964182,    0.262603,  -17.267089,  -98.425919,  -19.209285,  -18.052022,  -19.317675,  -19.565279,  -20.153876,  -17.556122,  -21.657166,  -17.889282,  -17.369829,  -17.942501,  -19.669149,  -18.738119,  -17.082671,  -18.096200,  -16.104690,  -17.601816,  -17.572227,  -17.860309
Mult,SI,251114 11:44:42.076986,   11.458469,101164.915418,   24.128764,   51.989583,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.095646,    0.568203,    0.009802,   -0.339495,    0.000000,    0.000000,   42.031250,    0.726577,   -0.854796,   -1.937264,    2.870965,   -0.987947,   -1.746579,   -1.294523,    0.105617,   -3.006581,    2.261511,   -0.352192,   -1.543154,   -1.484387,   -0.008219,   -1.611784,    0.380549,    0.110137,   -0.242466,   -1.010139,   -1.698086,   -2.864389,   -4.277680,   -2.667129,   -1.570277,   -1.087399,   -1.863702,   -1.137126,    0.274110,    0.702741,   -1.444934,   -1.278496,   -0.788221,   -1.037982,    1.607880,    0.622193,   -0.370275,    0.155343,   -0.902057,   -2.572608,   -0.266302,   -3.666172,   -0.161096,   -0.903289,   -1.122742,  -15.255852,  -99.968572,  -20.437643,  -19.840519,  -21.430830,  -19.556854,  -17.494555,  -17.106404,  -19.407162,  -17.632946,  -19.268257,  -18.254009,  -18.529660,  -20.338808,  -17.363665,  -20.110314,  -17.059760,  -20.981138,  -19.421751,  -19.967300
Mult,SI,251114 11:44:42.086986,   11.456940,101164.915418,   24.050726,   52.207566,   77.381773,    0.000000,  399.000000,   26.900000,    1.700000,   19.800000,   12.000000,    0.098460,    0.533936,   -0.021245,    0.065635,    0.000000,    0.000000,   42.031250,   -1.813976,    1.234523,   -1.890004,   -1.324112,   -2.612882,    0.331644,   -1.066851,    0.013151,   -2.916170,    0.183699,   -1.086578,    0.332055,    0.745481,    0.260959,   -0.468905,   -0.772193,   -0.410960,    0.524385,   -2.004251,   -0.373562,   -2.236443,   -0.799317,   -1.465071,   -2.035073,    0.548631,   -0.373973,   -1.237400,    0.601851,   -0.966988,   -0.377261,    0.348494,   -0.362466,    1.936750,    1.672246,    0.201576,    0.440549,    1.573976,    0.866303,   -1.404660,    1.483565,   -3.739733,   -1.275208,   -1.809867,   -1.504113,  -14.347837, -100.045845,  -19.646957,  -17.426336,  -20.336393,  -21.663228,  -20.804836,  -20.936009,  -19.072641,  -21.400727,  -19.643464,  -18.791133,  -20.175348,  -22.183606,  -20.237506,  -21.150042,  -20.856206,  -22.317168,  -21.899838,  -22.329496
