Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 11:43:58.585286,    8.714970,101183.355177,   23.960983,   51.794880,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.148848,    0.364298,    0.001513,    0.047537,    0.000000,    0.000000,   41.976562,   -1.790962,   -0.766029,   -1.309318,   -0.060822,    0.219452,   -0.256439,   -2.045757,   -0.993290,   -2.777266,    1.097673,   -1.889593,   -1.566578,    0.307809,   -1.439181,   -1.496715,   -2.275895,   -2.683567,    1.401373,   -0.685892,    0.166028,   -3.159458,   -3.091239,   -1.316715,   -0.792330,   -1.459729,   -1.226304,    1.159317,    0.176096,   -0.956303,   -0.762741,   -0.804659,   -1.386578,   -0.511439,    1.284455,    0.242261,   -0.480823,   -1.045071,   -0.570823,   -2.871787,    1.050824,   -2.935485,    0.342740,    0.126576,   -0.394932,  -10.725021,  -55.415376,  -11.988722,  -12.050777,  -10.208085,  -12.878861,  -11.726736,  -10.658934,  -11.970024,  -10.477829,   -8.755291,   -9.643581,  -13.312629,  -11.653585,  -12.567765,  -11.238515,  -10.537007,  -12.812902,   -9.120635,  -10.590432
Mult,SI,251114 11:43:58.595286,    8.715470,101183.355177,   23.992926,   51.756124,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.116808,    0.338531,   -0.005753,   -0.254571,    0.000000,    0.000000,   41.976562,   -0.563837,    0.080548,   -0.370275,   -0.661234,   -2.515073,   -2.605485,   -1.085756,   -2.458361,    0.684659,   -1.048358,   -0.733152,   -2.133292,   -0.066165,    0.753289,   -2.669594,   -3.770966,   -0.809180,    0.380960,   -1.271920,    0.683426,   -0.696988,   -2.054799,   -1.605620,   -2.364251,   -0.223151,   -0.872467,    0.392056,    0.935139,   -2.711101,    0.877810,    0.887673,   -0.378494,    0.753392,   -0.726975,    0.061233,   -0.837536,    0.126165,    1.311783,   -0.154521,    1.047947,   -1.933565,    4.793434,   -0.740138,   -3.150828,   -9.156594,  -54.846928,  -11.411530,  -12.585436,  -10.572863,  -12.629922,  -11.377420,  -10.027674,  -13.183999,  -12.015640,  -11.389749,  -10.180705,  -11.180262,  -12.713450,  -10.709610,  -10.451528,  -11.456735,  -12.788656,  -12.003722,  -11.418105
Mult,SI,251114 11:43:58.605286,    8.714836,101183.355177,   23.959528,   51.563273,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.116960,    0.342758,   -0.023797,   -0.116279,    0.000000,    0.000000,   41.976562,   -3.956720,   -0.598357,   -2.687677,   -2.040004,   -1.142468,   -1.530825,   -2.148908,    0.312740,   -1.903565,   -0.818632,   -0.727810,    1.324112,   -1.306852,    0.407672,    1.366030,   -1.256715,   -0.695755,   -0.645618,    0.232603,   -1.874387,   -0.558905,   -1.726442,   -2.725074,   -2.949047,   -1.741647,    1.619181,   -0.226028,    0.132329,   -1.235345,   -1.603565,   -0.705618,   -2.169867,    1.316099,   -1.421600,   -0.276781,   -0.198905,    0.089589,   -1.049180,    2.533978,    1.023701,   -0.592193,   -2.625211,   -1.331099,   -1.319181,   -7.231864,  -54.466123,  -10.289815,  -10.143924,  -10.016886,  -10.419165,  -11.155913,   -9.186465,  -10.527966,  -12.612148,  -12.472011,  -12.196052,  -12.258312,   -9.262621,  -11.101358,  -13.753178,  -11.339612,  -12.224819,  -11.118721,   -9.973992
Mult,SI,251114 11:43:58.615286,    8.716486,101183.355177,   24.056414,   51.719485,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.134085,    0.398310,    0.009772,    0.029902,    0.000000,    0.000000,   41.976562,    0.304932,   -1.089865,   -1.437126,   -3.440966,   -1.808223,    2.356032,   -1.096851,   -2.137402,   -1.144934,   -0.747125,   -1.216441,    0.063288,   -0.400275,    0.647673,   -0.565070,    0.125754,   -1.689455,   -1.147810,    0.297535,    0.106850,   -1.295345,   -0.826029,   -2.767814,    0.616440,   -0.390001,   -0.186165,   -0.364521,   -0.148767,   -0.889317,   -2.460416,   -0.984249,   -1.504113,   -0.669556,   -0.174504,   -1.432195,   -1.318359,    1.539455,    1.556304,    1.158084,    0.315617,   -2.969595,   -1.377126,    0.171987,   -2.195347,  -10.949816,  -57.217305,   -9.442005,   -9.942759,  -11.327283,  -12.662388,  -11.882078,   -8.915540,  -14.159206,  -12.293244,  -12.969272,  -10.559199,  -11.384303,  -10.748241,  -10.309849,  -12.369477,  -12.368244,  -11.995914,  -10.544815,  -14.947838
Mult,SI,251114 11:43:58.625286,    8.718063,101183.355177,   24.144835,   52.016831,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.017284,    0.333550,   -0.023702,   -0.369659,    0.000000,    0.000000,   41.976562,   -1.743291,   -2.226991,   -0.903700,   -2.699594,   -1.419455,   -0.231370,   -1.213153,   -1.626579,   -2.448498,   -1.228359,   -0.603700,   -0.783289,   -0.654659,   -1.447400,   -0.936166,   -0.307398,   -1.292057,   -1.374660,    0.094932,   -2.499046,   -0.163562,   -2.282881,    0.680960,   -0.406439,   -2.228635,    0.938221,   -1.093975,    1.735072,   -0.077671,   -0.374795,   -0.898358,   -1.866990,   -0.766029,    0.458426,   -2.390553,   -1.420277,    1.242742,   -0.328768,   -2.177265,    0.098630,   -1.107125,    2.202333,    0.049726,   -0.027534,  -12.148791,  -57.526373,  -11.463516,  -11.383995,  -12.056890,   -9.591286,   -9.756595,  -11.736573,  -13.067286,  -14.460234,  -11.906531,  -10.256733,  -11.539235,  -11.880846,  -11.751290,  -11.836873,  -10.798378,  -13.258793,  -11.485913,  -12.956738
Mult,SI,251114 11:43:58.635286,    8.718139,101183.355177,   24.151911,   51.936939,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.140245,    0.394138,   -0.004979,   -0.090291,    0.000000,    0.000000,   41.984375,   -1.841100,   -1.416989,   -1.250961,    0.407261,   -1.536989,   -0.347672,   -1.723154,   -2.619868,   -2.621923,   -0.643974,   -1.208222,   -0.798906,   -2.168634,    0.787399,   -1.659455,   -2.907129,   -1.839867,   -1.564524,    0.389179,    1.825483,    0.326302,   -1.156852,   -0.997810,   -1.823428,   -1.476167,   -1.479455,   -1.804113,    0.536508,   -0.638631,   -0.929180,    0.588083,    0.109726,   -0.637399,    0.407467,    0.362056,    0.209178,   -0.189041,   -0.230548,   -1.025755,   -1.026988,   -1.543154,    0.239590,   -3.004732,    0.591782,  -11.133721,  -56.635065,  -11.315776,  -12.009476,  -11.734184,  -11.946394,   -9.639471,   -9.683649,  -13.560849,  -12.902594,  -11.568311,  -13.792630,  -11.049679,  -10.479473,   -9.640499,  -12.537559,  -12.164408,  -13.730164,  -11.415228,  -11.435776
Mult,SI,251114 11:43:58.645286,    8.717519,101183.355177,   24.111966,   51.997122,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.044764,    0.437283,   -0.006798,   -0.165470,    0.000000,    0.000000,   41.976562,   -0.319727,   -1.687812,   -1.703839,   -0.754522,   -3.373157,   -1.785620,   -0.812056,   -1.623702,   -2.104114,   -0.453700,   -0.550686,   -1.684935,    0.069041,    0.114658,   -1.532058,   -0.168493,   -2.019867,    0.137261,    0.027123,   -0.096986,   -2.131237,   -1.463428,    1.021235,   -1.746990,   -0.912742,   -1.498770,   -1.725620,    0.913358,   -0.483289,   -0.911098,   -0.666577,   -0.545755,   -0.768700,   -0.558019,   -0.109110,   -1.103427,    0.612330,    1.885894,   -1.177811,   -0.430275,   -0.311918,   -1.798771,   -1.618154,   -1.579318,   -8.324606,  -56.466739,  -11.526393,  -11.147077,  -10.841837,  -14.035816,  -12.317696,  -12.756036,  -12.286874,  -13.081978,  -10.937487,   -9.805499,  -13.823555,  -11.673311,  -10.909748,  -12.655094,  -11.065090,  -11.893585,  -11.575708,  -13.496739
Mult,SI,251114 11:43:58.655286,    8.715177,101183.355177,   23.978376,   51.636551,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.030895,    0.413886,   -0.023932,   -0.031819,    0.000000,    0.000000,   41.976562,   -1.110413,    0.935344,   -1.676305,   -3.993707,   -2.221648,   -0.708084,   -1.202468,    0.865070,   -2.769047,   -0.274110,   -1.430140,    0.606577,   -0.362877,    0.950961,   -3.051376,   -0.919728,    0.354247,   -0.835070,   -1.299455,   -1.413290,   -1.333975,   -1.818908,    1.034386,   -1.486030,    1.158495,   -3.459048,    0.766029,   -0.290754,   -0.248220,   -0.122055,    1.299044,    0.657947,   -0.511439,   -0.595571,   -1.610551,   -0.630823,   -2.240552,    0.011507,   -1.707127,   -1.233290,    3.084664,    0.004932,    0.373768,   -1.381236,   -8.374126,  -53.152618,  -12.223791,  -10.243171,  -11.282385,  -11.484886,  -12.745094,  -13.102398,  -13.838658,  -12.287490,  -11.926462,  -12.310298,  -12.891601,  -12.685505,  -11.179132,   -9.615225,  -11.889476,  -11.255365,  -11.855777,  -11.339201
Mult,SI,251114 11:43:58.665286,    8.715322,101183.355177,   23.986114,   51.676629,   44.799974,    0.000000,  300.000000,   20.200000,    0.700000,   10.200000,    8.200000,    0.105080,    0.323156,    0.005303,   -0.104213,    0.000000,    0.000000,   41.976562,   -1.698907,   -2.710279,   -0.887262,   -1.346304,    0.644385,   -0.990413,    0.204658,   -1.989456,   -2.715622,   -0.530549,   -1.446167,    0.089589,   -2.995896,   -0.463152,   -0.976851,    0.034932,    0.408083,   -0.928769,   -0.261781,   -1.649181,   -2.714800,   -1.287126,   -2.122607,   -1.823428,   -0.685481,    0.709727,   -1.218496,    0.241644,   -0.633289,    0.046849,   -1.077947,   -1.605620,   -1.422537,    0.662249,    0.138493,   -1.439181,    0.407261,    0.354658,   -1.125208,    0.334521,   -1.591236,    0.096986,   -1.064180,    0.311918,  -11.073310,  -56.350835,  -12.902286,  -12.436669,  -13.729291,  -12.998040,  -12.627970,  -12.228158,  -14.803180,  -11.706599,  -12.909683,  -13.035642,  -15.397222,  -11.847147,  -12.334545,  -13.052903,  -12.847423,  -13.107971,  -12.154956,  -12.983450
