Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:09:57.973326,   11.603748,101139.141665,   24.196750,   52.147515,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.199252,    0.400913,   -0.005735,   -0.211412,    0.000000,    0.000000,   43.585937,   -2.626033,   -1.019591,   -0.964112,   -0.763152,   -0.710138,   -0.900002,   -1.703839,   -0.831782,   -1.299455,   -0.210411,   -2.177676,   -3.378089,    0.503426,   -0.940276,    0.208357,   -1.345482,   -4.019186,   -1.086578,   -1.376304,   -2.241374,   -1.179454,   -1.506578,    0.346028,   -1.223838,   -0.623837,   -0.808358,    0.827262,   -0.237329,   -1.268222,    0.994933,   -1.418633,   -0.006986,   -0.154007,    0.690502,   -1.164660,   -1.481921,   -0.860550,   -0.344384,   -1.492606,    0.235069,   -1.450688,   -0.325891,    1.752743,   -2.719320,  -19.011613, -100.687706,  -18.851955,  -17.829282,  -18.313238,  -18.573222,  -17.860720,  -17.201079,  -20.185931,  -19.063086,  -18.626955,  -17.580446,  -18.983771,  -14.279617,  -16.462019,  -19.505381,  -17.243870,  -19.054969,  -19.552436,  -19.901135
Mult,SI,251114 12:09:57.983326,   11.600466,101139.141665,   24.047155,   52.075427,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.081060,    0.241185,    0.021805,    0.050785,    0.000000,    0.000000,   43.585937,   -0.834248,   -1.523839,   -0.364932,   -0.975207,   -1.913428,   -0.516987,   -0.080959,   -2.076990,   -3.214527,   -1.540277,   -1.148221,   -1.823428,   -0.889728,   -0.713015,    1.305619,   -1.825483,   -0.699042,    0.175069,    0.162329,   -2.411101,   -2.006305,   -0.810413,   -0.724933,    0.232603,   -0.607398,   -0.338631,    2.681101,   -0.103151,   -0.275754,    0.251096,   -1.094797,   -1.415756,    1.801956,    1.679913,    0.682604,    1.467948,    0.153699,   -1.949182,   -1.661921,    0.009041,    1.772469,   -1.720277,   -3.725555,   -2.116032,  -17.796611, -101.884672,  -17.560720,  -17.075376,  -18.093991,  -15.708524,  -18.591407,  -18.180447,  -18.810037,  -19.545450,  -17.239349,  -17.173596,  -18.376578,  -15.139345,  -15.857908,  -17.596473,  -19.128531,  -16.800855,  -15.568593,  -18.861818
Mult,SI,251114 12:09:57.993326,   11.603295,101139.141665,   24.172809,   52.245792,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.296181,    0.396311,    0.002423,    0.283746,    0.000000,    0.000000,   43.585937,   -1.393153,   -1.744935,    0.309042,   -1.608085,   -0.570412,    1.427263,    2.036716,   -2.804389,   -0.576166,   -2.311237,   -3.106855,   -0.562193,   -1.788497,   -1.231235,   -0.934933,   -2.386032,   -1.237400,    1.457674,   -1.638907,   -2.273840,    0.536713,   -1.610140,    0.421234,   -0.378083,   -1.748223,   -0.800139,    0.810824,    0.553768,   -1.477811,   -0.628768,   -0.761097,    0.102740,   -0.350138,   -0.866200,    1.171030,   -0.515754,   -1.592469,   -2.226580,   -1.962744,   -2.063018,    0.362466,   -1.832058,   -1.204317,   -0.656714,  -17.255171, -100.087840,  -17.708871,  -14.355234,  -16.308680,  -18.965586,  -17.583734,  -15.049294,  -15.575373,  -17.407740,  -16.900308,  -20.070862,  -18.648325,  -13.880576,  -17.963871,  -20.111547,  -18.422091,  -18.434009,  -17.859077,  -17.986474
Mult,SI,251114 12:09:58.003326,   11.599063,101139.141665,   23.990479,   51.796599,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.180373,    0.440171,    0.005423,    0.254046,    0.000000,    0.000000,   43.585937,   -2.164114,   -0.310686,   -1.615894,   -2.334662,   -0.556439,   -2.277539,   -0.298357,   -1.186852,   -1.620825,   -1.800004,   -2.116854,   -0.776303,    1.035208,    0.562193,   -0.465206,   -2.058908,   -1.899867,    0.383836,   -1.048358,   -0.292192,    0.759454,   -1.093153,    1.196715,   -0.342740,   -2.755074,   -0.876577,    0.334932,    0.332055,   -2.423840,    0.830550,   -1.084523,   -0.316028,   -1.615585,   -1.183448,   -0.814933,   -1.134660,   -1.094797,   -0.842878,    0.237535,    0.447124,    0.007808,   -0.844111,   -2.916581,   -0.815344,  -19.877711,  -99.468620,  -15.841881,  -17.174829,  -17.742518,  -19.489765,  -18.507160,  -16.277704,  -17.621953,  -18.389523,  -17.698186,  -17.279623,  -17.661302,  -15.608661,  -16.581711,  -17.262363,  -16.853458,  -18.890585,  -17.518185,  -18.603325
Mult,SI,251114 12:09:58.013326,   11.600002,101139.141665,   24.027712,   52.004794,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.216950,    0.461535,    0.020403,   -0.186353,    0.000000,    0.000000,   43.585937,   -1.560003,   -0.518220,   -2.443156,   -1.300277,   -1.160550,   -0.116713,   -0.975207,   -1.340962,   -2.456717,   -0.759043,   -1.759730,   -3.156171,   -0.658768,    1.525072,    1.194249,   -1.906031,   -2.546306,    1.149865,   -2.920280,   -1.943018,   -0.501371,    0.008219,   -0.870002,   -2.060963,    0.201781,   -0.333288,   -0.096986,    1.851374,   -1.757675,   -1.631099,    0.632878,   -1.737949,   -1.997059,   -0.091875,    1.608702,   -2.310827,   -0.304521,   -0.013973,   -1.930689,    1.167948,   -2.183018,   -0.415480,   -1.187263,   -3.124527,  -17.112157,  -99.833520,  -17.588254,  -17.804419,  -16.868201,  -21.538810,  -19.803327,  -16.009064,  -19.754012,  -20.356068,  -16.461608,  -17.494555,  -17.730652,  -17.221267,  -20.571205,  -17.913734,  -18.078529,  -19.408806,  -17.875515,  -18.016063
Mult,SI,251114 12:09:58.023326,   11.598668,101139.141665,   23.973284,   51.759299,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.168546,    0.454832,   -0.004609,    0.092087,    0.000000,    0.000000,   43.585937,   -0.310686,   -0.285617,   -1.849730,    0.149589,   -0.036986,   -1.583428,   -2.209319,   -0.028356,   -0.187398,   -0.401508,    1.787264,   -1.963566,   -1.852606,   -1.186441,   -0.443426,   -0.825207,   -3.023020,   -1.220550,   -0.563426,   -0.160685,   -0.663289,   -0.639042,   -1.570277,    0.377261,    0.396576,    0.916851,    0.419179,    0.813906,   -0.716303,   -1.218496,    1.212331,   -0.949728,    2.379662,   -1.110863,   -2.806238,   -0.787399,   -0.417946,   -1.354934,   -2.426306,   -0.102329,    0.541234,   -1.412058,    0.211439,   -2.064662,  -16.570512,  -98.365643,  -22.771895,  -18.892435,  -18.827760,  -21.294905,  -18.314009,  -17.508888,  -17.661816,  -21.914324,  -19.530039,  -18.625105,  -18.515277,  -18.660448,  -17.537192,  -18.607023,  -18.683873,  -18.782503,  -18.606201,  -19.659080
Mult,SI,251114 12:09:58.033326,   11.599015,101139.141665,   23.979897,   52.078998,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.205580,    0.374228,    0.020902,   -0.331606,    0.000000,    0.000000,   43.585937,    0.655070,    0.140137,   -4.041789,   -1.958634,   -1.333975,   -3.269185,   -0.067397,   -1.601099,   -1.874798,    0.676851,   -0.960413,   -1.698907,   -0.182466,    0.797262,   -0.217809,   -1.273153,   -1.296578,    1.937264,    0.021370,    0.756166,    1.467948,   -1.966442,    0.896303,   -2.025620,   -1.753565,   -0.988358,    0.840824,    1.114934,   -0.964933,   -0.746303,    0.126576,   -0.789865,   -0.922399,   -0.368798,    0.615823,   -0.900413,   -1.526715,    0.164795,   -0.216165,   -2.438224,    0.972331,    1.787264,    1.581784,   -1.855072,  -18.087981,  -99.402276,  -19.260449,  -17.685652,  -17.303973,  -19.102949,  -17.639624,  -18.454660,  -17.531131,  -19.593943,  -19.344901,  -17.021952,  -17.309212,  -15.422907,  -16.828801,  -18.208392,  -17.792090,  -18.050995,  -18.387982,  -18.535927
Mult,SI,251114 12:09:58.043326,   11.603998,101139.141665,   24.202503,   52.341557,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.113077,    0.426114,    0.001106,    0.022013,    0.000000,    0.000000,   43.593750,   -2.467402,   -0.330412,   -2.935896,   -1.729729,   -0.894248,   -0.261370,   -1.940141,   -2.499457,   -1.497537,    0.838358,   -2.199045,   -2.203977,   -1.243564,    1.620003,    0.946851,   -2.326854,   -1.024934,   -0.339453,   -1.289592,   -1.870689,   -1.042194,   -0.040685,   -1.602743,   -2.669183,   -1.383290,   -1.910963,   -1.200824,   -0.951783,   -1.294112,   -0.054247,   -0.813289,   -1.460140,   -1.188393,    0.744274,    0.033904,   -1.339318,    1.072605,    0.188631,    0.624659,    0.683837,   -1.694798,   -2.890280,   -1.361099,    0.315206,  -15.880716, -100.911622,  -15.798114,  -14.305508,  -15.383712,  -15.411400,  -17.527432,  -14.570808,  -16.737978,  -17.150890,  -17.871816,  -16.592499,  -16.081059,  -13.672630,  -13.859000,  -17.017842,  -14.273042,  -14.465371,  -16.111059,  -15.034961
Mult,SI,251114 12:09:58.053326,   11.597621,101139.141665,   23.922229,   51.846333,   79.314592,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.188172,    0.471666,    0.009096,   -0.266172,    0.000000,    0.000000,   43.593750,   -2.520827,   -2.277128,   -1.403838,   -1.927812,    0.096986,    1.599455,   -0.499316,   -1.892059,    0.326302,   -0.364110,   -0.147535,   -0.385069,   -1.121098,    0.614796,   -1.358633,   -1.839045,   -1.463839,   -0.802604,   -1.709592,   -1.467126,    0.391234,   -1.539455,   -1.814798,    0.191918,   -0.653837,   -2.418498,    2.189182,    1.049180,   -0.083836,   -1.853017,   -1.071372,   -0.850276,    3.113123,    3.053790,   -0.494590,   -0.047260,   -0.502193,    1.372195,   -0.232603,    1.774113,   -0.463563,   -1.056577,    4.103022,    0.017671,  -15.451675,  -99.266826,  -15.570647,  -15.059413,  -13.651876,  -13.625883,  -17.466199,  -17.626396,  -16.115374,  -17.039623,  -15.424551,  -18.859763,  -16.668732,  -14.925646,  -17.169075,  -18.076474,  -18.108529,  -17.375788,  -17.516542,  -16.010991
